filter,dist,n,target_fpr,neg_share,workload,threads,load_factor,fp_bits,ops,warmup_ops,rep,run,achieved_fpr,bpe,ops_per_s,p50,p95,p99,p50_ns,p95_ns,p99_ns,fail_rate,avg_kicks,stash_hits,avg_probe,cluster_mean,cluster_p99
cuckoo,uniform,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000977,33.5544,11953380.0,39ns,56ns,289ns,39.0,56.0,289.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,0,0,4.5e-05,33.5544,11994280.0,39ns,54ns,281ns,39.0,54.0,281.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,1,1,4.5e-05,33.5544,11918000.0,39ns,56ns,280ns,39.0,56.0,280.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.001,0.5,read_only,1,0.95,16,1500000,150000,2,2,4.5e-05,33.5544,11459350.0,42ns,58ns,231ns,42.0,58.0,231.0,0.0,0.0,0.0,,,
quotient,uniform,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000234,52.4288,10550770.0,42ns,203ns,311ns,42.0,203.0,311.0,,,,0.0,0.0,0.0
quotient,uniform,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000234,52.4288,11062540.0,40ns,155ns,294ns,40.0,155.0,294.0,,,,0.0,0.0,0.0
quotient,uniform,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000234,52.4288,10843890.0,40ns,188ns,296ns,40.0,188.0,296.0,,,,0.0,0.0,0.0
bloom,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.102532,6.71089,15861530.0,32ns,48ns,137ns,32.0,48.0,137.0,,,,,,
bloom,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.102532,6.71089,15784640.0,33ns,49ns,140ns,33.0,49.0,140.0,,,,,,
bloom,uniform,5000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.102532,6.71089,16053310.0,32ns,48ns,133ns,32.0,48.0,133.0,,,,,,
